Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
arit,sasabi,sasabi,Noun,sabit: pariama omei irotap bani sasabi panen padi digunakan- kah sabit
Ark nasib,okang,,,
ark sebelah,hait,,,
arti,arti,arti,Noun,
arus,aras,aras,Noun,aras ni bah
asah,hirah,hirah,Verb,hirah lobei parang ai! asah dulu parang  itu!
asal,asal,,,
asal (tentang daerah),asal,asal,Noun,
asal seseorang,par,par,Verb,par dolok hanami kami orang gunung
asam,masam,,,
asam,migar,,,
asam durian,sibak,,,
asam durian (buah durian masak yang diasamkan),sibak,sibak,Noun,topong sibak ai hu bagas buluh on! masukkan asam durian itu ke dalam bambu ini!
asam gelugur,galugur,galugur,Noun,
asamkan,pamigar ,,,
asap,asap,asap,Noun,asap ni bodil
asap,timus,timus,Noun,
asing,legan,,,
asing,suhi,suhi,Verb,lain: suhi baen ia mangan asing buat dia makan
asing; aneh; tidak biasa; lain; beda tidak sama,legan,lEgan,Adjective,hananipan legan jurusan nami (kami berlainan jurusan); ; 
asma,hosong,,,
asma; bengek,hosong,hOsOG,Noun,halak naborit hosong seng tahan marlintun orang sakit bengek tidak tahan berlari
aspal,aspal,aspal,Noun,
asuh,ardak,arda?,Verb,
atap,tayup,tayup,Noun,tayup ni rumah nami ibaen aribut atap rumah kami dibuat dari ijuk; ; ; beratap
atap dari bambu,butar,,,
atap dari bambu butarbutar [butar butar] n tangkai butet [butEt] n panggilan untuk,butar,buttar,Noun,
atap lalang,sirat,,,
atas,atas,atas,Noun,i atas lamari di atas lemari;
atas,babou,babOw,Noun,i babou ni hayu di atas kayu
atas,datas,datas,Noun,udan ruh hun datas hujan datang dari atas
atau,atap,atap,Adverb,inang atap amang ibu atau ayah
atur,atur,atur,Verb,
atur,batur,batur,Verb,batur dayok in bani pinggan atur ayam itu kedalam piring
atur,ransap,ras:ap,Verb,ransap ambotik ai i topi! atur pepaya itu di pinggir!
aturan,aturan ,,,
aturan,ranggi,raGgi,Noun,aloima ranggi ni lalu lintas patuhilah peraturan lalu lintas
aus,maos,,,
aus; usang,maos,maOs,Adjective,bajuku domma maos pakaian saya sudah usang
avokad,apokat,pOkat,Noun,
ayah,amang,amaG,Noun,"amang nonoi	hanami	niombahmon ayah lihat kami anak-anakmu; ;"
ayak,piar,piyar,Verb,piar i lobei omei in ayak dulu padi itu
ayak,sege,sEgE,Verb,sege lobei borasta in baya! ayak dulu beras kita itu nak!
ayam,dayok,dayO?,Raya,"rosuh inang	mangan	dayok	ni panggang, ibu makan ayam yang	dipanggang;	ulang songon dayok sabungan, ki jangan sok jago spt ayam jago; dayok boru ayam betina; dayok sabungan ayam jantan"
ayam,jaguran,,,
ayam,manuk,manuk,Noun,bahat tumang manuk i juma banyak sekali ayam di ladang
ayam betina yang baru menetaskan anak,manghurtuk ,,,
ayam laga,jagur,,,
ayam laga,tombu,tObbu,Noun,
ayam laga; ayam sabungan,jagur,jagur,Noun,ajang ni isei jagur ai? kepunyaan siapa ayam laga itu?;
ayam liar,bolajan,bOlajan,Noun,bolajan songon dayok rimba ayam liar seperti ayam rimba
ayam merah,mirah,mirah,Noun,ia marosuh mangan dayok mirah dia suka makan ayam merah
ayam yang berbulu,soridi,,,
ayam yang berbulu bintik,soridi,soridi,Noun,dayokhu buei na soridi ayamku banyak yang berbulu bintik
ayo,eta,,,
ayo,laita,,,
ayo,ne,nE,Particle,
ayo,neta,nEta,Particle,neta ma hita misir ayo kita pergi
ayo; mari,laita,lEta,Adverb,leta laho mahita! mari kita pergi
ayun,ondei,,,
ayun; berayun- ayun,ondei,Ondey,Verb,ondei ma mataku solmodom mataku sudah ber- ayun-ayun mengantuk mau tidur
azimat,rintabu,,,
azimat ,rintabu,rintabu,Noun,halak-halak na jola marrintabu orang-orang dahulu berazimat
bab,bindu,bindu,Noun,bagian isi buku
babat pendek,pat,,,
babi,babui,babui,Noun,adong babui i harangan ai ada babi di hutan itu
babi hutan,aili,ayli,Noun,aili mamangani jagul i juma babi hutan memakani jagung di kebun
babi hutan,baragas,,,
babi hutan,sitabiar,sitabiar,Noun,
babi hutan jantan,baragas,baragas,Noun,
babi jantan,dalu,dalu,Noun,
babu,jabolon,,,
babu; budak,jabolon,jabolon,Noun,"ulang suruh ahu i ja dong jabolon mu ahu! jangan suruh- suruh aku, aku bukan babumu!; - budak;"
baca,basa,basa,Verb,"basa lobei  buku on baca dulu buku in; ; : mambasahon	surat		bani ompung	membacakan	surat untuk nenek;"
bacang,halam,,,
bacok,galgak,,,
bacok; potong; ,galgak,galga?,Verb,si Butek galgak hayu si Butet memotong kayu
badak,barak,bara?,Noun,
badan,pamatang,,,
badan (jasad manusia keseluruhan) pamohot [pamOhOt] v pergunakan,pamatang,pamataG,Noun,
bagai buluh,lupung,lupuG,Adjective,"hujai pe sai lupung tong huja pelang tombus kemana saja  pun tertutup, tidak ada jalan keluar"
bagaimana,hua,huwa,Pronoun,
bagaimana,naha,naha,Pronoun,naha ma hoi dopni? bagaimanakah nanti akhirnya
bagaimana,sonaha,sonaha,Pronoun,sonaha do manari tortor? bagaimana caranya menari tortor?
bagaimana,sondia,,,
bagi,bagi,bagi,Noun,bagi ma duit ai
bagi,parsaribu,,,
bagian,Sidadolog,,,
bagian,awanawan,,,
bagian,bagian,bagian,Noun,"	nasib (peruntungan)"
bagian,hampit,,,
bagian,jambar,jambar,Noun,
bagian,jangan,jaGan,Verb,lang dong janganhu ijin tak ada bagianku di situ
bagian,paratas,,,
bagian,partoruh,,,
bagian,parujung,,Noun,
bagian,rangin,raGin,Noun,rangin mu sibarjon bagian kamu  sampai di sini
bagian (sisi),hampit,happit,Noun,"hampit	bagas	sisi	bagian dalam"
bagian batang enau yang keras (bagian luar),pangkuh,pak:uh,Noun,
bagian dalam,ombut,,,
bagian dalam batang pisang dan dapat dibuat menjadi sayur,hungkam,hukkam,Noun,
bagian dalam kayu,unok,,,
bagian dalam kayu yang lembut,unok,unOk,Noun,empulur
bagian dalam pucuktumbuh-tumbuhan seperti kelapa aren dan pinang,ombut,Ombut,Noun,
bagian dari alat,sumbi,,,
bagian dari alat tenun yang berfuingsi untuk menyamakan lebar sisi kain,sumbi,subbi,Noun,
bagian dari marga Purba,Sidadolog,sidadolOg,Noun,
bagian ekor,imput,,,
bagian ekor binatang,imput,ipput,Noun,imput ni dayok bagian ekor ayam
bagian kemaluan,binsil,,,
bagian kemaluan perempuan,binsil,bissil,Noun,
bagian kepala anak kecil,awanawan,awan awan,Noun,awanawan bain dakdaknak awan awan ada di kepala
bagian marga,pak,,,
bagian pisau yang dimasukkan pada hulunya (gagang),pasihon,pasihon,,
bagian rumah untuk tamu terhormat,luluan,,,
bagian rumah yang dijadikan tempat untuk tamu yang dihormati,luluan,luluwan,Noun,
bagus,handalan,handalan,Adjective,rumah ai handalan tumang rumah itu bagus sekali
bagus,jagar,,,
bagus,jerget,,,
bagus,jilei,,,
bagus,jodah,jOdah,Adjective,jodah de pilim ai? baguskah film itu?
bagus,tupa,,,
bagus (baik sekali),tupa,tupa,Adverb,mujur; terima kasih: tupa ma roh nasiam terima kasih kalian sudah datang; 
bagus (tentang ayam),jerget,jErgEt,Adjective,jerget do rupani dayok ai bulu ayam itu bagus sekali
bagus;  baik,jagar,jagar,Adjective,domma jagar parsahapan pem- bicaraan sudah bagus
bagus; cantik,jilei,jilEy,Adjective,jilei tonggoron dolog ai gunung itu kelihatan cantik
bahan masakan,lompahon ,,,
bahu,abara,abara,Noun,
bahu,barabara,barabara,Noun,i pokpok halak barabarana bahunya dipukul orang
bahu,haledang,halEdaG,Noun,"mahua do haledang min, ugahan? kenapa bahumu itu, luka?"
baik,bujur,bujur,Raya,benar;
baik,dear,dEar,Raya,
baik,jalu,,,
baik,sintong,sittOG,Adjective,benar
baik,turei,turey,Adjective,turei uhur ni si Juan hati si Juan baik; ; 
baik (tentang letak),jalu,jalu,Verb,jalu partibalni dakdanak ai letak (posisi) tidur anak itu baik
baik sekali; sempurna,torsa,tOrsa,Adjective,domma torsa sudah sempurna
bajak,tinggala,tiggala,Noun,mata bajak
baju,baju,,,
bakar,padar,padar,Verb,padar lobei ngadung on! bakar dulu ubi itu!;
bakar,surbui,,,
bakar,tutung,tutuG,Verb,
"bakar (tentang hutan, rumah, dsb)",surbui,surbuy,Verb,
baki,idang,,,
baku tembak,marsibodilan ,,,
bakul,bantei,bantEy,Noun,tolu bantei bahatni banyaknya tiga bakul
bakul,bius,bius,Noun,bius do namin gampil martuah bakul menjadi bertuah
bakul,gampil,gappil,Noun,
bakul,tapongan,,,
bakul berbentuk,ompon,,,
bakul berbentuk bulat dan panjang,ompon,Op:On,Noun,ompon in bahen iananni omeimu bakul ini untuk tempat padimu
bakul besar,haduduk,haduduk,Noun,biasani haduduk ianani boras i huta bakul besar biasanya tempat beras di kampung
balai,balei,balEy,Noun,balei ianan ni tamui ai balai disesiakan untuk menerima tamu
balai,jambur,,,
balam,kuhui,,,
balam (semacam burung),kuhui,kuhuy,Noun,kuhui itangkap bapa i juma burung balam ditangkap bapak di ladang
balas,balas,balas,Verb,; ;
balik,balik,,,
balik,mulak,mulak,Verb,
balik,pagoling,pagoliG,Verb,
baling,ingon,,,
balut,gulu,gulu,Verb,
bambu,buluh,buluh,Raya,
bambu,garingging,,,
bambu  untuk membuat rumah,aris,aris,Noun,halak ai mambahen jabu aris orang itu membuat rumah bambu
bambu muda yang,baoh,,,
bambu tempat air,garingging,gariGgiG,Noun,
bambu yang,turbung,,,
bambu yang dibelah ujungnya,turbung,turbuG,Noun,
bandal,dajal,,,
bandal; keras kepala,dajal,dajal,Adjective,dajal dassa ho engkau bandal sekali
bandel,jangal,jaGal,Adjective,jangal parlahou ni tingkahnya bandel; majangal  v  orang  yang bandel
